round,category,question_number,question_text,answer_text,daily_double_flag,image_url
1,Taco,1,"This tiny dog breed became a pop-culture mascot for Taco Bell with the catchphrase ""Yo quiero Taco Bell.""",Chihuahua,FALSE,
1,Taco,2,Taco Bell survived the chain wars in this futuristic movie.,Demolition Man,FALSE,
1,Taco,3,"Known for its beverages, this  company bought Taco Bell in 1978, long before the chain became part of Yum! Brands.",PepsiCo,FALSE,
1,Taco,4,"In 2022, Taco Bell partnered with this singer and rapper for a high-profile brand campaign.",Doja Cat,TRUE,
1,Taco,5,"Before Taco Bell, Glen Bell first opened this type of stand in San Bernardino in 1948.",Hot Dog Stand,FALSE,
1,Cat,1,This orange lasagna-loving comic strip cat absolutely hates Mondays.,Garfield,FALSE,
1,Cat,2,"Hermione Granger owns this unusually clever, ginger-colored pet.",Crookshanks,FALSE,
1,Cat,3,"Despite being called Hello Kitty, Sanrio's official profiles describe her as this kind of character.",Little Girl,FALSE,
1,Cat,4,This black cat with white-tipped paws is Pinocchio’s feline sidekick in Disney’s Pinocchio.,Figaro,FALSE,
1,Cat,5,Luna and Artemis are magical feline advisors in this anime and manga franchise.,Sailor Moon,FALSE,
1,Goat,1,This artist holds the record for the most Grammy wins.,Beyoncé,FALSE,
1,Goat,2,This prison movie is the top rated movie of all time on IMDB.,The Shawshank Redemption,FALSE,
1,Goat,3,This sandbox game is the best-selling video game of all time according to Guinness World Records.,Minecraft,FALSE,
1,Goat,4,Muhammad Ali used this four-word phrase to describe himself long before GOAT became everyday slang.,"""I am the greatest!""",FALSE,
1,Goat,5,He holds the record for most Oscars won by a person.,Walt Disney,FALSE,
1,Cheese,1,A portrait taken of yourself with your own camera or phone is commonly called this.,Selfie,FALSE,
1,Cheese,2,"In a camera, this component opens briefly to let light hit film or the sensor.",Shutter,FALSE,
1,Cheese,3,"George Eastman’s company popularized snapshot photography with the slogan “You press the button, we do the rest.”",Kodak,FALSE,
1,Cheese,4,The Leica I helped popularize this film format for still photography.,35mm,FALSE,
1,Cheese,5,"Despite the name, these inexpensive portrait photos of the Civil War era were usually made on lacquered iron.",Tintypes,FALSE,
1,Pizza,1,He's the orange one.,Michelangelo,FALSE,
1,Pizza,2,"In the 1991 sequel The Secret of the Ooze, this rapper performs “Ninja Rap.”",Vanilla Ice,FALSE,
1,Pizza,3,"In many versions of TMNT, Splinter teaches the Turtles this Japanese martial art.",Ninjutsu,FALSE,
1,Pizza,4,Shredder commands this criminal ninja organization.,The Foot Clan,FALSE,
1,Pizza,5,The original TMNT comic debuted from this studio in 1984.,Mirage Studios,FALSE,
2,An Album Cover,1,This album's name.,Abbey Road - The Beatles,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/The_Beatles_Abbey_Road_album_cover.jpg/1280px-The_Beatles_Abbey_Road_album_cover.jpg
2,An Album Cover,2,This album's name.,The Dark Side of the Moon - Pink Floyd,FALSE,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/The_Dark_Side_of_the_Moon_cover.svg/960px-The_Dark_Side_of_the_Moon_cover.svg.png
2,An Album Cover,3,This album's name.,25 - Adele,FALSE,https://upload.wikimedia.org/wikipedia/en/9/96/Adele_-_25_%28Official_Album_Cover%29.png
2,An Album Cover,4,This album's name.,Future Nostalgia - Dua Lipa,FALSE,https://upload.wikimedia.org/wikipedia/en/f/f5/Dua_Lipa_-_Future_Nostalgia_%28Official_Album_Cover%29.png
2,An Album Cover,5,This album's name.,Teenage Dream - Katy Perry,FALSE,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Katy_Perry_-_Teenage_Dream_%28album%29.png/250px-Katy_Perry_-_Teenage_Dream_%28album%29.png
2,The Pen Is Mightier,1,"This playwright wrote Hamlet, Macbeth, and The Tempest.",Shakespeare,FALSE,
2,The Pen Is Mightier,2,This Dickens orphan asks for more.,Oliver Twist,FALSE,
2,The Pen Is Mightier,3,This author introduced the world to Hercule Poirot and Miss Marple.,Agatha Christie,TRUE,
2,The Pen Is Mightier,4,This phrase for a no-win bureaucratic bind comes from the title of Joseph Heller’s war novel.,Catch-22,FALSE,
2,The Pen Is Mightier,5,"This pen name belongs to the short-story author famous for surprise or twist endings, including in “The Gift of the Magi.”",O. Henry,FALSE,
2,Famous Horsemen,1,"“One if by land, two if by sea” is a signal associated with this horseman's  midnight ride.",Paul Revere,FALSE,
2,Famous Horsemen,2,This rider  terrorizes Sleepy Hollow.,The Headless Horseman,FALSE,
2,Famous Horsemen,3,This washed-up sitcom star is the title character of a Netflix animated series set in a world of humans and talking animals.,BoJack Horseman,FALSE,
2,Famous Horsemen,4,"This Rohirrim king rides into battle after crying “Forth, and fear no darkness!” in Peter Jackson’s trilogy.",Théoden,FALSE,
2,Famous Horsemen,5,"Doc Holliday stood beside this frontier lawman in Tombstone, Arizona at the Gunfight at the O.K. Corral.",Wyatt Earp,FALSE,
2,"""S"" Words",1,"This “S” word means to calm pain, anger, or distress.",Soothe,FALSE,
2,"""S"" Words",2,This “S” word means to form a theory without firm evidence.,Speculate,FALSE,
2,"""S"" Words",3,This “S” word means bitterly harsh or cutting in tone or style.,Scathing,FALSE,
2,"""S"" Words",4,"This “S” word means sparkling or brilliantly lively, especially in conversation.",Scintillating,TRUE,
2,"""S"" Words",5,"This “S” word means making a show of moral superiority, often hypocritically.",Sanctimonious,FALSE,
2,Potent Potables,1,"Shake tequila, orange liqueur, and lime juice with ice; strain into a salt-rimmed glass.",Margarita,FALSE,
2,Potent Potables,2,"Stir gin and dry vermouth with ice; strain and serve up in a chilled cocktail glass, garnished with an olive or lemon twist.",Martini,FALSE,
2,Potent Potables,3,"Build tequila with grapefruit soda and lime over ice in a highball glass, often with a salted rim.",Paloma,FALSE,
2,Potent Potables,4,"Muddle mint with sugar and lime, add white rum and ice, then top with soda water in a highball glass.",Mojito,FALSE,
2,Potent Potables,5,"Stir gin, Campari, and sweet vermouth with ice; strain over fresh ice into a short rocks glass with orange peel.",Negroni,FALSE,
3,Animation,1,"Roger pleads, “I didn’t do it!” in this film named as a question.",Who Framed Roger Rabbit?,FALSE,